ZE-Nr,ZE-Name,WKA-Name,WKA-Typ,ZE-Standort,ZE-Kanton,ZE-Status,Funktion: Turbinieren,Funktion: Pumpen,QTurbine [m3/sec],Inst. Turbinenleistung,"(""LTURBINE[MW]""/100)*""PROZ.ANTEILCH""",Max. Leistung ab Generator,"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Prod. ohne Umwälzbetrieb - W.,Prod. ohne Umwälzbetrieb - S.,Prod. ohne Umwälzbetrieb - J.,"(""PROD.OHNEUMWÄLZBETRIEB-J.""/100)*""PROZ.ANTEILCH""",QPumpe [m3/sec],Inst. Pumpenleistung,Leistungsaufnahme Motoren,Bedarf ohne Umwälzb. - W.,Bedarf ohne Umwälzb. - S.,Bedarf ohne Umwälzb. - J.,ZE-Erste Inbetriebnahme,ZE-Letzte Inbetriebnahme,ZE-Kote,Proz. Anteil CH,Kantonsanteil: Kanton Name (1),Kantonsanteil (1),Kantonsanteil: Kanton Name (2),Kantonsanteil (2),Kantonsanteil: Kanton Name (3),Kantonsanteil (3),Genutzte Gewässer - Name (1),Genutzte Gewässer - Name (2),Genutzte Gewässer - Name (3),Genutzte Gewässer - Name (4),Genutzte Gewässer - Name (5),Genutzte Gewässer - Name (6),Genutzte Gewässer - Name (7),"(""LGENERATOR[MW]""/100)*""PROZ.ANTEILCH""",Genutzte Gewässer - Name (8),Genutzte Gewässer - Name (9),Genutzte Gewässer - Name (10),Genutzte Gewässer - Name (11),Genutzte Gewässer - Name (12),Ersatzenergie: Richtung (1),Ersatzenergie: Partner (1),Ersatzenergie: Richtung (2),Ersatzenergie: Partner (2),Ersatzenergie: Richtung (3),Ersatzenergie: Partner (3),Ersatzenergie: Richtung (4),Ersatzenergie: Partner (4),Ersatzenergie: Richtung (5),Ersatzenergie: Partner (5),Ersatzenergie :Richtung (6),Ersatzenergie: Partner (6),Ersatzenergie: Richtung (7),Ersatzenergie: Partner (7),Ersatzenergie: Richtung (8),Ersatzenergie: Partner (8),Ersatzenergie: Richtung (9),Ersatzenergie: Partner (9),Ersatzenergie: Richtung (10),Ersatzenergie: Partner (10),Ersatzenergie: Richtung (11),Ersatzenergie: Partner (11),Ersatzenergie: Richtung (12),Ersatzenergie: Partner (12),Rechte - Name (1),Rechte - Endjahr (1),Rechte - Name (2),Rechte - Endjahr (2),Rechte - Name (3),Rechte - Endjahr (3),Rechte - Name (4),Rechte - Endjahr (4),Rechte - Name (5),Rechte - Endjahr (5),Rechte - Name (6),Rechte - Endjahr (6),Rechte - Name (7),Rechte - Endjahr (7),Rechte - Name (8),Rechte - Endjahr (8),Rechte - Name (9),Rechte - Endjahr (9),Rechte - Name (10),Rechte - Endjahr (10),Bemerkung (1),Bemerkung (2),Bemerkung (3),Bemerkung (4),Bemerkung (5),Bemerkung (6),Bemerkung (7),Bemerkung (8),Bemerkung (9),Bemerkung (10),ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
101500,Bargaus,Bargaus,L,Sagogn,Graubünden,im Normalbetrieb,T,,0.96,2.82,2.82,2.75,2.75,4.5,9.2,13.7,13.7,0,0,0,0,0,0,1963,1963,666.31,100,Graubünden,100,,,,,Bulignabach,Laaxerbach,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740090,184080
101550,Punt Gronda (Segnas),Punt Gronda (Segnas),L,Flims,Graubünden,im Normalbetrieb,T,,0.4,2.62,2.62,3.3,3.3,2.65,8.42,11.07,11.07,0,0,0,0,0,0,2012,2012,1300.6,100,Graubünden,100,,,,,Flembach,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2072,,,,,,,,,,,,,,,,,,,"- Zentralen Punt Gronda (Segnas), Punt Gronda (Platt Alva) und Punt Gronda (Tarschlims) in einem Gebäude",,,,,,,,,,739320,189100
101560,Punt Gronda (Platt Alva),Punt Gronda (Platt Alva),L,Flims,Graubünden,im Normalbetrieb,T,,0.3,0.64,0.64,0.8,0.8,0,1.42,1.42,1.42,0,0,0,0,0,0,2012,,1300.6,100,Graubünden,100,,,,,Platt Alva Bach,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2072,,,,,,,,,,,,,,,,,,,"- Zentrale Punt Gronda (Platt Alva), Punt Gronda (Segnas) und Punt Gronda (Tarschlims) in einem Gebäude", ,,,,,,,,,739320,189100
101570,Punt Gronda (Tarschlims),Punt Gronda (Tarschlims),L,Flims,Graubünden,im Normalbetrieb,T,,0.14,0.3,0.3,0.38,0.38,0.8,1.1,1.9,1.9,0,0,0,0,0,0,2013,,1300.6,100,Graubünden,100,,,,,Quellen Tarschlims,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),9999,,,,,,,,,,,,,,,,,,,"- Zentrale Punt Gronda (Tarschlims), Punt Gronda (Platt Alva) und  Punt Gronda (Segnas) in einem Gebäude",- Trinkwasserkraftwerk,,,,,,,,,739320,189100
101600,Stenna (Flims),Stenna (Flims) Flembach,L,Flims,Graubünden,im Normalbetrieb,T,,0.85,1.73,1.73,1.66,1.66,1.8,5.9,7.7,7.7,0,0,0,0,0,0,1904,1999,1056.08,100,Graubünden,100,,,,,Flembach,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740690,188610
101650,"Flims, Felsbach (Karstwasser)","Flims, Felsbach (Karstwasser)",L,Flims,Graubünden,im Normalbetrieb,T,,0.5,0.88,0.88,0.85,0.85,1.4,2.79,4.19,4.19,0,0,0,0,0,0,2011,2011,851.07,100,Graubünden,100,,,,,Karstquelle Tunnel Flims,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2071,,,,,,,,,,,,,,,,,,,"- Zentrale Flims, Felsbach (Karstwasser) und Zentrale Flims, Felsbach (Bergwasser) sind in einem Gebäude Felsbach			",  			, ,			, ,,,,,,743340,188710
101660,"Flims, Felsbach (Bergwasser)","Flims, Felsbach (Bergwasser)",L,Flims,Graubünden,im Normalbetrieb,T,,0.3,0.28,0.28,0.27,0.27,0.49,1.01,1.5,1.5,0,0,0,0,0,0,2011,,851.07,100,Graubünden,100,,,,,Bergwasser Tunnel Flims,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2071,,,,,,,,,,,,,,,,,,,"- Zentrale Flims, Felsbach (Bergwasser) und Zentrale Flims, Felsbach (Karstwasser) sind in einem Gebäude Felsbach		",,,,,,,,,,743340,188710
101700,Mulin,Mulin,L,Trin Mulin,Graubünden,im Normalbetrieb,T,,1.4,1.6,1.6,1.5,1.5,1.25,4.55,5.8,5.8,0,0,0,0,0,0,1907,2004,797,100,Graubünden,100,,,,,Quelle bei Mulin,Val Turnigla,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verfügungsrecht,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745060,188680
101800,Pintrun,Pintrun,L,Trin,Graubünden,im Normalbetrieb,T,,5,6.48,6.48,6.2,6.2,7.6,23.2,30.8,30.8,0,0,0,0,0,0,1944,1944,613.8,100,Graubünden,100,,,,,Flembach,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745770,186630
101900,Ferrera 1,Ferrera 1,U,Ausserferrera,Graubünden,im Normalbetrieb,T,P,45,180,126,180,126,210,94,304,212.8,16,90,90,27,71,98,1962,2017,1399.8,70,Graubünden,70,,,,,Am Bach,Averserrhein,Blesbach,Juppabach,Lago di Lei,Madriserrhein,Maleggabach,126,Niemetbach,Parebach,Pisciabach,Reno di Lei,Stausee Sufers,,,,,,,,,,,,,,,,,,,,,,,,,Konzession(en),2042,,,,,,,,,,,,,,,,,,,- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ,,,,,,,,,,753080,155460
